George Lopez,NICK,421246,420364,0.0020937884
PAW Patrol,NICK,597992,603784,-0.0096857483
PAW Patrol,NICK,578402,589601,-0.0193619662
The Furchester Hotel,UNIKIDS,44525,42588,0.0435036496
PAW Patrol,NICK,410358,412329,-0.0048031231
Lily's Driftwood Bay,UNIKIDS,26916,26501,0.0154183385
Sarah & Duck,UNIKIDS,26320,26205,0.0043693009
Bubble Guppies,NICK,422557,413347,0.0217958761
Trisha's Southern Kitchen,FOOD,204780,200888,0.0190057623
Noddy Toyland Detective,UNIKIDS,26194,26147,0.001794304
Caillou,UNIKIDS,37185,38901,-0.0461476402
Love & Hip Hop Hollywood,VH1,119881,117706,0.0181429918
The Wiggles,UNIKIDS,32183,31035,0.0356710064
Noddy Toyland Detective,UNIKIDS,23412,23700,-0.0123013839
Space Racers,UNIKIDS,23384,23801,-0.0178327061
SpongeBob SquarePants,NICK,798308,790365,0.0099497938
The Wiggles,UNIKIDS,31411,32103,-0.0220304989
Topsy and Tim,UNIKIDS,33017,33265,-0.0075112821
Love & Hip Hop Hollywood,VH1,158224,136817,0.1352955304
Love & Hip Hop Hollywood,VH1,158224,177635,-0.1226805036
Henry Danger,NICK,900796,900696,0.0001110129
Henry Danger,NICK,893926,880225,0.015326772
I Am Frankie,NICK,848693,850239,-0.0018216245
The Middle,ABC,3417697,3581514,-0.0479319846
The Big Bang Theory,TBS,1095963,1121547,-0.0233438538
Little Lunch,UNIKIDS,30980,30211,0.0248224661
Hank Zipzer,UNIKIDS,26152,26742,-0.022560416
The Thundermans,NICK,756141,726488,0.0392162308
Ridiculousness,MTV,316618,292350,0.076647569
Lethal Weapon,FOX,1683996,1528718,0.0922080575
DC's Legends of Tomorrow,CW,472889,487812,-0.0315570884
The Big Bang Theory,TBS,1338865,1349634,-0.00804338
Full House,NICK,696556,690822,0.0082319297
black-ish,ABC,2464353,2408242,0.0227690595
Love & Hip Hop Hollywood,VH1,333799,303524,0.0906982945
Full House,NICK,610419,612660,-0.0036712488
Full House,NICK,610419,583191,0.0446054268
Jimmy Kimmel Live!,ABC,1939494,2296639,-0.18414339
Friends,NICK,553083,523305,0.0538400204
Modern Family,USA,413397,383113,0.0732564581
Catfish: The TV Show,MTV,128944,136634,-0.0596382926
Friends,NICK,445708,411378,0.0770235221
Late Night with Seth Meyers,NBC,1717321,1644107,0.042632682
Last Call With Carson Daly,NBC,1242184,1238186,0.0032185248
George Lopez,NICK,369040,369997,-0.0025932148
Good Morning America,ABC,3738766,3671838,0.0179010936
Bubble Guppies,NICK,408252,406258,0.0048842382
Love & Hip Hop Hollywood,VH1,74906,69330,0.0744399648
Topsy and Tim,UNIKIDS,26072,24281,0.0686943848
Love & Hip Hop Hollywood,VH1,95275,89957,0.0558173708
Space Racers,UNIKIDS,21764,21885,-0.0055596398
SpongeBob SquarePants,NICK,676360,716929,-0.0599813709
Floogals,UNIKIDS,25598,25790,-0.007500586
SpongeBob SquarePants,NICK,787514,812438,-0.0316489612
Hip Hop Honors: The 90's Game Changers,VH1,142979,136976,0.0419851866
The Loud House,NICK,918826,909040,0.0106505475
Henry Danger,NICK,893484,879232,0.0159510411
Henry Danger,NICK,877780,872228,0.0063250473
Catfish: The TV Show,MTV,202281,202406,-0.0006179523
I Am Frankie,NICK,839712,800347,0.0468791681
Speechless,ABC,2398613,2464458,-0.0274512812
Speechless,ABC,2398613,2308828,0.0374320493
Supernatural,CW,452263,447995,0.0094369869
Teen Mom 2,MTV,515907,484509,0.0608598061
Full House,NICK,600216,601814,-0.0026623749
Lamar Hunt US Open Cup Soccer,ESPN2,203026,189143,0.0683804045
Drumline,VH1,269605,267853,0.0064983958
Full House,NICK,578917,580322,-0.0024269455
Nowhere Boys,UNIKIDS,15190,13977,0.0798551679
Catfish: The TV Show,MTV,235811,249016,-0.0559982359
Little Lunch,UNIKIDS,13125,13000,0.0095238095
Friends,NICK,550595,553212,-0.0047530399
The Tonight Show Starring Jimmy Fallon,NBC,2936844,3166715,-0.078271437
Friends,NICK,450380,470625,-0.0449509303
Late Night with Seth Meyers,NBC,1625123,1672279,-0.0290168806
Catfish: The TV Show,MTV,140124,133832,0.0449030858
Last Call With Carson Daly,NBC,1161980,1207760,-0.0393982685
The Goldbergs,NICK,270293,271533,-0.0045876142
George Lopez,NICK,279464,286951,-0.0267905705
George Lopez,NICK,380355,375938,0.0116128354
George Lopez,NICK,361501,363470,-0.0054467346
Good Morning America,ABC,3720660,4149071,-0.1151438186
Good Morning America,ABC,3720660,3883761,-0.0438365774
PAW Patrol,NICK,591084,597750,-0.0112775849
PAW Patrol,NICK,575235,574247,0.0017175589
Topsy and Tim,UNIKIDS,31868,31052,0.0256056232
Terrific Trucks,UNIKIDS,31617,32240,-0.0197045893
PAW Patrol,NICK,408493,409861,-0.0033488946
Fresh Prince of Bel-Air,VH1,77786,75084,0.0347363279
Sarah & Duck,UNIKIDS,26250,25921,0.0125333333
Noddy Toyland Detective,UNIKIDS,26789,28216,-0.0532681324
First Sunday,VH1,77849,75009,0.0364808797
SpongeBob SquarePants,NICK,517170,551544,-0.0664655722
The Wiggles,UNIKIDS,31470,31843,-0.011852558
Super Wings,UNIKIDS,37124,40031,-0.0783051395
Caillou,UNIKIDS,54826,53032,0.0327217014
DreamWorks Dragons: Riders of Berk Sneak Peak,UNIKIDS,60116,58569,0.0257335817
Penn & Teller: Fool Us,CW,958169,907328,0.053060577
Seinfeld,TBS,586646,564052,0.0385138567
Nick Cannon Presents: Wild 'N Out,MTV,196865,190956,0.0300154929
Hank Zipzer,UNIKIDS,28903,30897,-0.0689893783
Penn & Teller: Fool Us,CW,958169,900738,0.0599382781
Hank Zipzer,UNIKIDS,28903,29097,-0.006712106
Yogi Bear,NICK,559300,534777,0.0438458788
Full House,NICK,481979,476698,0.0109569089
Scandal,ABC,2565968,2475827,0.0351294326
Full House,NICK,481979,478255,0.0077264777
Nowhere Boys,UNIKIDS,19127,19825,-0.0364929158
How to Get Away with Murder,ABC,2020913,2015946,0.0024578
Nick Cannon Presents: Wild 'N Out,MTV,214386,205888,0.0396387824
Full House,NICK,515052,505021,0.0194757034
Friends,NICK,507264,511546,-0.0084413639
Nick Cannon Presents: Wild 'N Out,MTV,191739,181429,0.0537710116
Friends,NICK,486910,494192,-0.0149555359
T.I. and Tiny: The Family Hustle,VH1,140064,132667,0.0528115719
Friends,NICK,444025,456501,-0.028097517
The Goldbergs,NICK,330667,355326,-0.0745735135
Hip Hop Squares,MTV,124300,115343,0.0720595334
PAW Patrol,NICK,443331,476274,-0.0743079099
PAW Patrol,NICK,443331,431136,0.0275076636
Fresh Prince of Bel-Air,VH1,76233,78130,-0.0248842365
Caillou,UNIKIDS,34757,36437,-0.0483355871
PAW Patrol,NICK,484993,484579,0.0008536206
Scary Movie 2,VH1,86662,87330,-0.0077081074
PAW Patrol,NICK,491043,489198,0.0037573084
Ranger Rob,UNIKIDS,20590,20394,0.0095191841
Not Another Teen Movie,VH1,82879,78901,0.0479976834
Topsy and Tim,UNIKIDS,29722,29612,0.0037009623
Modern Family,USA,306837,297103,0.0317236839
Seinfeld,TBS,398464,394100,0.0109520559
Modern Family,USA,347144,344379,0.0079649944
The Goonies,VH1,176150,176020,0.0007380074
Shark Tank,ABC,3527371,3483053,0.0125640314
Shark Tank,ABC,3527371,3400995,0.0358272492
Ridiculousness,MTV,270442,255594,0.0549027148
Modern Family,USA,478325,468911,0.0196811791
What Would You Do?,ABC,3018687,3051968,-0.011024992
Shrek Forever After,NICK,744416,729742,0.0197120965
Modern Family,USA,472373,452192,0.0427225942
Full House,NICK,629501,625286,0.0066957797
Friends,NICK,592780,582115,0.0179914977
Hank Zipzer,UNIKIDS,15431,15185,0.0159419351
Knocked Up,VH1,216083,207274,0.0407667424
Friends,NICK,497899,541222,-0.0870116228
The Goldbergs,NICK,371096,402565,-0.0848001595
Late Night with Seth Meyers,NBC,1571687,1268071,0.1931784128
The Goldbergs,NICK,299442,313741,-0.0477521523
Last Call With Carson Daly,NBC,1091774,1145808,-0.0494919278
George Lopez,NICK,289628,287964,0.0057453009
George Lopez,NICK,297971,295860,0.0070845821
Cheaters,VH1,199028,213089,-0.070648351
Cheaters,VH1,202360,208492,-0.0303024313
The Goonies,VH1,165837,164676,0.0070008502
The Goonies,VH1,165837,164507,0.0080199232
Ranger Rob,UNIKIDS,36663,36630,0.00090009
Ranger Rob,UNIKIDS,36663,36175,0.013310422
Nick Cannon Presents: Wild 'N Out,MTV,144499,139643,0.0336057689
Knocked Up,VH1,175089,178457,-0.0192359314
Little Big Shots,UNIKIDS,114704,116803,-0.0182992747
Little Big Shots,UNIKIDS,114704,115963,-0.0109760776
Little Big Shots,UNIKIDS,114704,111619,0.0268953132
Little Big Shots,UNIKIDS,114704,96060,0.1625401032
Teen Mom 2,MTV,157943,153674,0.0270287382
Bear Grylls Survival School,UNIKIDS,54962,56245,-0.0233434009
Bear Grylls Survival School,UNIKIDS,54962,54292,0.0121902405
The Big Bang Theory,TBS,913041,857397,0.060943594
The Devil Wears Prada,VH1,243103,243277,-0.000715746
Full House,NICK,609493,608360,0.0018589221
Nick Cannon Presents: Wild 'N Out,MTV,185815,180323,0.0295562791
Full House,NICK,609493,576942,0.0534066839
Friends,NICK,589688,582636,0.0119588664
Hank Zipzer,UNIKIDS,30585,27357,0.1055419323
The Notebook,VH1,248184,251451,-0.0131636205
Friends,NICK,521474,535355,-0.0266187768
The Goldbergs,NICK,308967,310343,-0.0044535501
George Lopez,NICK,261064,257077,0.0152721172
PAW Patrol,NICK,322336,326476,-0.0128437407
Dot,UNIKIDS,39471,39675,-0.0051683514
Dot,UNIKIDS,36856,36657,0.0053993922
The Notebook,VH1,195028,190715,0.0221147733
The Notebook,VH1,195028,207671,-0.064826589
Fear Factor,MTV,154721,157044,-0.0150141222
What's Love Got to Do With It?,VH1,195102,168467,0.136518334
Noddy Toyland Detective,UNIKIDS,36546,37463,-0.0250916653
What's Love Got to Do With It?,VH1,195102,188892,0.0318295046
Floogals,UNIKIDS,42698,43549,-0.0199306759
Floogals,UNIKIDS,42698,41927,0.0180570519
Nina's World,UNIKIDS,39623,39063,0.0141332055
Dot,UNIKIDS,38300,38549,-0.0065013055
The Land Before Time II: The Great Valley Adventure,UNIKIDS,57604,52826,0.0829456288
Catfish: The TV Show,MTV,166247,163090,0.0189898164
DreamWorks Dragons: Riders of Berk Sneak Peak,UNIKIDS,60661,60321,0.0056049191
DreamWorks Dragons: Riders of Berk Sneak Peak,UNIKIDS,60661,60024,0.0105009809
The Deep,UNIKIDS,50169,50962,-0.0158065738
Law & Order: Special Victims Unit,USA,602447,599448,0.0049780313
America's Funniest Home Videos,ABC,3488585,3656601,-0.0481616472
The Deep,UNIKIDS,50169,48609,0.0310948992
The Deep,UNIKIDS,50169,47966,0.0439115789
Law & Order: Special Victims Unit,USA,640390,610427,0.0467886757
Love & Hip Hop Hollywood,VH1,199087,196663,0.0121755815
Full House,NICK,623573,581202,0.0679487406
Steve Harvey's Funderdome,ABC,3111691,2914080,0.0635059844
Bear Grylls Survival School,UNIKIDS,27850,26994,0.0307360862
The Big Bang Theory,TBS,822215,860071,-0.0460414855
Nowhere Boys,UNIKIDS,21949,22626,-0.0308442298
Nowhere Boys,UNIKIDS,21949,22782,-0.0379516151
Law & Order: Special Victims Unit,USA,620925,607884,0.0210025365
Nowhere Boys,UNIKIDS,21949,21200,0.0341245615
Love & Hip Hop Hollywood,VH1,202294,196021,0.0310093231
Nowhere Boys,UNIKIDS,21949,20563,0.0631463848
Nowhere Boys,UNIKIDS,19300,19413,-0.0058549223
Nowhere Boys,UNIKIDS,19300,19241,0.0030569948
Nowhere Boys,UNIKIDS,19300,18707,0.0307253886
"The $100,000 Pyramid",ABC,2801958,3043354,-0.0861526119
Nowhere Boys,UNIKIDS,19300,18218,0.0560621762
Nowhere Boys,UNIKIDS,17449,17788,-0.0194280475
Friends,NICK,454625,473955,-0.0425185593
What's Love Got to Do With It?,VH1,132008,142164,-0.0769347312
Modern Family,USA,280745,266287,0.051498691
George Lopez,NICK,218438,237745,-0.088386636
George Lopez,NICK,250141,253130,-0.0119492606
Henry Danger,TEENNCK,34087,34500,-0.012116056
"Nicky, Ricky, Dicky, & Dawn",TEENNCK,86398,88987,-0.0299659714
Good Morning America,ABC,3642328,3828672,-0.0511606862
Victorious,TEENNCK,53264,53731,-0.0087676479
PAW Patrol,NICK,497684,498814,-0.002270517
Bubble Guppies,NICK,428073,415209,0.0300509493
Bizarre Foods with Andrew Zimmern,TRAVEL,191217,178273,0.0676927261
Henry Danger,NICK,851951,821906,0.0352661127
Bizarre Foods with Andrew Zimmern,TRAVEL,270648,257361,0.0490932872
Teen Mom 2,MTV,210926,185316,0.1214169898
Teen Mom 2,MTV,210926,199592,0.0537344851
I Am Frankie,NICK,843964,827826,0.0191216687
So You Think You Can Dance,FOX,1331951,1403239,-0.0535214884
Full House,NICK,661600,623408,0.0577267231
Teen Mom 2,MTV,299023,282247,0.0561027078
Young Sheldon,CBS,9024193,8504116,0.0576314137
Supergirl,CW,575640,517896,0.1003126954
So You Think You Can Dance,FOX,1331951,1120131,0.1590298742
Teen Mom 2,MTV,616160,601884,0.0231693067
Bizarre Foods with Andrew Zimmern,TRAVEL,321883,288360,0.1041465377
Full House,NICK,549123,526018,0.0420761833
The Voice,NBC,7356039,7010840,0.0469272933
Teen Mom 2,MTV,616160,590610,0.0414665022
Penn & Teller: Fool Us,CW,598059,587806,0.0171437935
Fresh Prince of Bel-Air,NICK,437630,436850,0.0017823275
Bizarre Foods: Delicious Destinations,TRAVEL,219959,214908,0.0229633704
Jimmy Kimmel Live!,ABC,2792035,2334194,0.1639811106
Bizarre Foods with Andrew Zimmern,TRAVEL,200805,198228,0.0128333458
Teen Mom 2,MTV,167376,161726,0.033756333
The Goldbergs,NICK,288870,268393,0.070886558
Bizarre Foods: Delicious Destinations,TRAVEL,98050,91942,0.0622947476
Henry Danger,TEENNCK,35676,33042,0.073831147
Good Morning America,ABC,3777604,3761112,0.0043657302
