All Hail King Julien,UNIKIDS,52751,51922,0.0157153419
Henry Danger,NICK,953652,945603,0.0084401857
Teen Mom 2,MTV,224608,210791,0.0615160635
I Am Frankie,NICK,919852,901849,0.0195716267
Henry Danger,NICK,800359,772214,0.0351654695
Full House,NICK,663629,633031,0.0461070869
The Next Step,UNIKIDS,20872,21398,-0.0252012265
Full House,NICK,588523,560635,0.0473864233
Love & Hip Hop Hollywood,VH1,889909,741839,0.1663877992
Nowhere Boys,UNIKIDS,15577,15751,-0.0111703152
Nowhere Boys,UNIKIDS,15577,15579,-0.0001283944
Nowhere Boys,UNIKIDS,15577,14680,0.0575849008
Little Lunch,UNIKIDS,13761,13603,0.0114817237
Little Lunch,UNIKIDS,13285,13193,0.0069251035
Hank Zipzer,UNIKIDS,12261,12701,-0.0358861431
The Challenge,MTV,243504,212319,0.1280677114
Hank Zipzer,UNIKIDS,12261,12409,-0.0120707936
Hank Zipzer,UNIKIDS,12261,12601,-0.0277302015
Friends,NICK,509489,521564,-0.0237002173
Modern Family,USA,481160,450869,0.0629541109
The Tonight Show Starring Jimmy Fallon,NBC,2746465,2189006,0.2029732766
Late Night with Seth Meyers,NBC,1555124,1428873,0.0811838799
Ridiculousness,MTV,153714,146759,0.0452463666
The Goldbergs,NICK,306457,308061,-0.0052340133
Last Call With Carson Daly,NBC,1267891,1286368,-0.0145730193
Seinfeld,TBS,142189,145818,-0.0255223681
George Lopez,NICK,297124,304224,-0.0238957472
George Lopez,NICK,375040,330935,0.1176007892
George Lopez,NICK,421246,420364,0.0020937884
PAW Patrol,NICK,597992,603784,-0.0096857483
PAW Patrol,NICK,578402,589601,-0.0193619662
The Furchester Hotel,UNIKIDS,44525,42588,0.0435036496
PAW Patrol,NICK,410358,412329,-0.0048031231
Lily's Driftwood Bay,UNIKIDS,26916,26501,0.0154183385
Sarah & Duck,UNIKIDS,26320,26205,0.0043693009
Bubble Guppies,NICK,422557,413347,0.0217958761
Trisha's Southern Kitchen,FOOD,204780,200888,0.0190057623
Noddy Toyland Detective,UNIKIDS,26194,26147,0.001794304
Caillou,UNIKIDS,37185,38901,-0.0461476402
Love & Hip Hop Hollywood,VH1,119881,117706,0.0181429918
The Wiggles,UNIKIDS,32183,31035,0.0356710064
Noddy Toyland Detective,UNIKIDS,23412,23700,-0.0123013839
Space Racers,UNIKIDS,23384,23801,-0.0178327061
SpongeBob SquarePants,NICK,798308,790365,0.0099497938
The Wiggles,UNIKIDS,31411,32103,-0.0220304989
Topsy and Tim,UNIKIDS,33017,33265,-0.0075112821
Love & Hip Hop Hollywood,VH1,158224,136817,0.1352955304
Love & Hip Hop Hollywood,VH1,158224,177635,-0.1226805036
Henry Danger,NICK,900796,900696,0.0001110129
Henry Danger,NICK,893926,880225,0.015326772
I Am Frankie,NICK,848693,850239,-0.0018216245
The Middle,ABC,3417697,3581514,-0.0479319846
The Big Bang Theory,TBS,1095963,1121547,-0.0233438538
Little Lunch,UNIKIDS,30980,30211,0.0248224661
Hank Zipzer,UNIKIDS,26152,26742,-0.022560416
The Thundermans,NICK,756141,726488,0.0392162308
Ridiculousness,MTV,316618,292350,0.076647569
Lethal Weapon,FOX,1683996,1528718,0.0922080575
DC's Legends of Tomorrow,CW,472889,487812,-0.0315570884
The Big Bang Theory,TBS,1338865,1349634,-0.00804338
Full House,NICK,696556,690822,0.0082319297
black-ish,ABC,2464353,2408242,0.0227690595
Love & Hip Hop Hollywood,VH1,333799,303524,0.0906982945
Full House,NICK,610419,612660,-0.0036712488
Full House,NICK,610419,583191,0.0446054268
Jimmy Kimmel Live!,ABC,1939494,2296639,-0.18414339
Friends,NICK,553083,523305,0.0538400204
Modern Family,USA,413397,383113,0.0732564581
Catfish: The TV Show,MTV,128944,136634,-0.0596382926
Friends,NICK,445708,411378,0.0770235221
Late Night with Seth Meyers,NBC,1717321,1644107,0.042632682
Last Call With Carson Daly,NBC,1242184,1238186,0.0032185248
